german,frequency,pattern,example_sentence,translation,sources
waren wir,11,sein_adj,Hinsichtlich der Lösung des Problems waren wir unterschiedlicher Meinung.,We differed as to the solution to the problem.,['100k_German_sentences_with_aud']
wäre zu,11,sein_adj,"Das wäre zu cool, wenn ich zehn Sprachen sprechen könnte!",It would be so cool if I could speak ten languages!,['100k_German_sentences_with_aud']
war an,11,sein_adj,Sie war an diesem Abend ins Konzert gegangen.,She had gone to the concert that evening.,['100k_German_sentences_with_aud']
bin an,11,sein_adj,Ich bin an einer Fischgräte fast erstickt.,I nearly choked on a fishbone.,['100k_German_sentences_with_aud']
ist unsere,11,sein_adj,Das Gebäude auf dem Hügel ist unsere Schule.,The building on the hill is our school.,['100k_German_sentences_with_aud']
war vor,11,sein_adj,"Es war vor einer Woche fällig, nämlich am zweiten April.","It was due a week ago, namely on April second.",['100k_German_sentences_with_aud']
drei,11,sich_verb,"Es ereignete sich drei Jahre später, das heißt 1965.","It happened three years later, that is in 1965.",['100k_German_sentences_with_aud']
war heute,11,sein_adj,Die Börse war heute überraschenderweise ruhig.,The stock market was surprisingly quiet today.,['100k_German_sentences_with_aud']
bin seit,11,sein_adj,Ich bin seit letztem Sonntag beschäftigt.,I have been busy since last Sunday.,['100k_German_sentences_with_aud']
wäre tom,11,sein_adj,"Wenn seine Mutter es zugelassen hätte, wäre Tom Boxer geworden.",Tom would have become a boxer if his mother had let him.,['100k_German_sentences_with_aud']
darüber,10,sich_verb,"Mein altmodischer Großvater beschwert sich darüber, wie sich die Mädchen heutzutage anziehen.",My old-fashioned grandfather complains about the way girls are dressed nowadays.,['100k_German_sentences_with_aud']
habe jetzt,10,haben_noun,Ich habe jetzt schon Stunden dafür gebraucht.,It already has taken me hours.,['100k_German_sentences_with_aud']
wäre schön,10,sein_adj,"Es wäre schön, wenn wir uns wiedersehen könnten.",It would be great if we could meet again.,['100k_German_sentences_with_aud']
ist möglicherweise,10,sein_adj,"Tom ist möglicherweise der Einzige, der dieses Problem zu lösen imstande ist.",Tom may be the only one who can solve this problem.,['100k_German_sentences_with_aud']
bin auch,10,sein_adj,"sich drehen ...... + Akk. Auf der Tourismusmesse dreht sich alles ...... Urlaub und Reisen. Es dreht sich immer alles ..... dich, aber ich bin auch noch da. Vergiss das nicht.","sich drehen um + Akk. Auf der Tourismusmesse dreht sich alles um Urlaub und Reisen. Es dreht sich immer alles um dich, aber ich bin auch noch da. Vergiss das nicht.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
machte tom,10,machen_noun,Mit einem ersten kurzen Satz machte Tom Marys Bekanntschaft.,It was through a first short sentence that Tom got acquainted to Mary.,['100k_German_sentences_with_aud']
ging,10,sich_verb,"Als Tom erkannte, was vor sich ging, hatte die Polizei Maria bereits festgenommen.","By the time Tom realized what was going on, the police had already arrested Mary.",['100k_German_sentences_with_aud']
war derjenige,10,sein_adj,"Herr Schmidt war derjenige, der mir beigebracht hat, wie man jene Maschine bedient.",It was Mr. Smith that taught me how to use that machine.,['100k_German_sentences_with_aud']
warum können,10,sein_adj,"Warum können wir Tom nicht einfach sagen, dass wir es nicht machen können?",Why can't we just tell Tom that we can't do it?,['100k_German_sentences_with_aud']
hätten es,10,haben_noun,Wir hätten es fast nicht mehr rechtzeitig zur Kirche geschafft.,We almost didn't make it to the church on time.,['100k_German_sentences_with_aud']
wäre schade,10,sein_adj,"Es wäre schade, wenn solch ein Wort verschwände.",It would be a pity if such a word were to disappear.,['100k_German_sentences_with_aud']
gerne,10,sich_verb,Er sieht sich gerne Baseballspiele im Fernsehen an.,He likes to watch baseball games on TV.,['100k_German_sentences_with_aud']
gesehen werden,10,verb_zu,"Ich denke, der Film ist es wert, zweimal gesehen zu werden.",I think it is worthwhile to see this film twice.,['100k_German_sentences_with_aud']
habe aus,10,haben_noun,erfahren ..... + Dat. Ich habe leider zu spät .... diesem Stellenangebot erfahren. Wie hast du da....  erfahren? Ich habe aus der Zeitung da....  erfahren.,erfahren von + Dat. Ich habe leider zu spät von diesem Stellenangebot erfahren. Wie hast du davon erfahren? Ich habe aus der Zeitung davon erfahren.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
haben werde,10,haben_noun,"Komm morgen nachmittag wieder, wenn ich mehr Zeit haben werde, mit dir zu reden.","Come again tomorrow afternoon, when I will have more time to talk with you.",['100k_German_sentences_with_aud']
allein,10,sich_verb,Jim erwachte und fand sich allein im Zimmer.,Jim awoke and found himself alone in the room.,['100k_German_sentences_with_aud']
hätte man,10,haben_noun,Ohne deine Ratschläge hätte man mir meine Tasche gestohlen.,"Without your advice, I would have been robbed of my bag.",['100k_German_sentences_with_aud']
sind mehr,10,sein_adj,"Es sind mehr Sterne am Himmel, als ich zählen kann.",There are more stars in the sky than I can count.,['100k_German_sentences_with_aud']
verirrt,10,sich_verb,Ohne die Landkarte hätte er sich verirrt.,"Without the map, he would have gotten lost.",['100k_German_sentences_with_aud']
machte er,10,machen_noun,"Kaum in der Stadt angekommen, machte er sich gleich auf, sie zu treffen.","On arriving in the town, he went straight to see her.",['100k_German_sentences_with_aud']
gelesen haben,10,verb_zu,Das Buch scheinen nur wenige Leute gelesen zu haben.,Few people seem to have read the book.,['100k_German_sentences_with_aud']
ist recht,10,sein_adj,Die Übersetzung ist recht originalgetreu.,The translation is quite true to the original.,['100k_German_sentences_with_aud']
warf einen,10,sein_adj,Der Baum warf einen Schatten über die Straße.,The tree cast a shadow across the road.,['100k_German_sentences_with_aud']
mir,10,sich_verb,"Ich musste eine ganze Weile über das Problem nachdenken, bevor es sich mir erhellte.",I had to think about the problem for quite a while before I saw daylight.,['100k_German_sentences_with_aud']
mach es,10,machen_noun,Setz dich auf das Sofa und mach es dir bequem.,Sit on the sofa and make yourself comfortable.,['100k_German_sentences_with_aud']
wäre beinahe,10,sein_adj,Er wäre beinahe vor Trauer verrückt geworden.,He was so sad that he almost went mad.,['100k_German_sentences_with_aud']
habe deinen,10,haben_noun,Ich habe deinen Aschenbecher kaputtgemacht.,I broke your ashtray.,['100k_German_sentences_with_aud']
warum es,10,sein_adj,"Ich frage mich, warum es hier heute so voll ist.",I wonder why it's so crowded here today.,['100k_German_sentences_with_aud']
waren überrascht,10,sein_adj,Wir waren überrascht von seinem Gebaren.,We were surprised at his conduct.,['100k_German_sentences_with_aud']
haben nichts,10,haben_noun,"Wir haben aus dem Fenster geschaut, aber wir haben nichts gesehen.",We looked out the window but saw nothing.,['100k_German_sentences_with_aud']
sind an,10,sein_adj,Wir sind an der Ecke links abgebogen und nordwärts gefahren.,We turned left at the corner and drove north.,['100k_German_sentences_with_aud']
haben unser,10,haben_noun,Die Fortschritte der Wissenschaft haben unser Leben stark verändert.,The progress of science has brought about great change in our lives.,['100k_German_sentences_with_aud']
macht jeden,10,machen_noun,"Ganz egal, wie kalt es auch ist – er macht jeden Tag einen 20-Kilometer-Dauerlauf.","However cold it may be, he still jogs 20 kilometers every day.",['100k_German_sentences_with_aud']
habe viel,10,haben_noun,Ich habe viel Geld in mein Haus gesteckt.,I have spent a lot of money on my house.,['100k_German_sentences_with_aud']
ist nun,10,sein_adj,Beth musste hart arbeiten und ist nun hungrig und erschöpft.,"Beth had to work very hard, and now she is hungry and exhausted.",['100k_German_sentences_with_aud']
machte eine,10,machen_noun,Das Raumschiff machte eine perfekte Landung.,The spaceship made a perfect landing.,['100k_German_sentences_with_aud']
habe warten,10,haben_noun,"Tut mir leid, dass ich dich so lange habe warten lassen.",I am sorry to have kept you waiting so long.,['100k_German_sentences_with_aud']
war wirklich,10,sein_adj,"Das Konzert war kurz, aber es war wirklich gut.","The concert was short, but it was really good.",['100k_German_sentences_with_aud']
wäre dir,10,sein_adj,"Ich wäre dir sehr dankbar, wenn du das für mich tun könntest.",I would be very pleased if you did this for me.,['100k_German_sentences_with_aud']
habe an,10,haben_noun,Ich habe an der Universität Kyōto studiert.,I graduated from Kyoto University.,['100k_German_sentences_with_aud']
ist äußerst,10,sein_adj,"Es ist äußerst wichtig, jeden Tag zu üben.",It is essential for you to practice every day.,['100k_German_sentences_with_aud']
macht das,10,machen_noun,"Er macht das gut, wenn man bedenkt, dass er damit keinerlei Erfahrung hat.",He does well considering that he has no experience.,['100k_German_sentences_with_aud']
wiedersehen sagen,10,verb_zu,"Er verließ das Zimmer, ohne mir auch nur Auf Wiedersehen zu sagen.",He left the room without so much as saying good-bye to me.,['100k_German_sentences_with_aud']
hatte in,10,haben_noun,Der Krankenwagen hatte in der Mitte der Avenue eine Panne.,The ambulance broke down in the middle of the avenue.,['100k_German_sentences_with_aud']
wart ihr,10,sein_adj,"Wie alt wart ihr, als der Krieg ausbrach?",How old were you when the war broke out?,['100k_German_sentences_with_aud']
warum gehst,10,sein_adj,"Warum gehst du zu Fuß, wenn du ein Auto hast?",Why do you walk when you have a car?,['100k_German_sentences_with_aud']
haben zu,10,haben_noun,Wir haben zu der Zeit Tempura zubereitet.,We were cooking tempura at that time.,['100k_German_sentences_with_aud']
haben alles,10,haben_noun,"Wir haben alles, was wir brauchen: Geld, Zeit und Verstand.","We have everything we need: money, time, and brains.",['100k_German_sentences_with_aud']
habe hunger,10,haben_noun,"Ich habe Hunger, weil ich nicht zu Mittag gegessen habe.",I am hungry because I did not eat lunch.,['100k_German_sentences_with_aud']
bin beeindruckt,10,sein_adj,Ich bin beeindruckt von deinem jüngsten Inserat in der „New York Times“.,I am impressed by your recent advertisement in the New York Times.,['100k_German_sentences_with_aud']
hättest das,10,haben_noun,Du hättest das seit langem erledigen können.,You should have completed it long ago.,['100k_German_sentences_with_aud']
sind wie,10,sein_adj,"Glasfaserkabel werden aus winzigen Glasfasern hergestellt, die so dünn sind wie menschliche Haare.",Fiber-optic cables are made up of tiny glass fibers which are as thin as human hairs.,['100k_German_sentences_with_aud']
habe mehr,10,haben_noun,Ich habe mehr als eine Stunde nach ihnen gesucht.,I've been looking for them for more than one hour.,['100k_German_sentences_with_aud']
waren noch,10,sein_adj,"Sie waren noch nie in Europa, nicht wahr?","You've never been to Europe, have you?",['100k_German_sentences_with_aud']
dazu,10,sich_verb,Können Sie sich dazu zwingen einzuschlafen?,Can you will yourself to fall asleep?,['100k_German_sentences_with_aud']
keinen,10,sich_verb,"Christine ist den ganzen Tag im Schatten geblieben, weil sie sich keinen Sonnenbrand holen wollte.","Christine stayed in the shade all day, because she didn't want to get a sunburn.",['100k_German_sentences_with_aud']
habe ihren,10,haben_noun,Verzeihen Sie; ich habe Ihren Namen nicht ganz verstanden.,I beg your pardon; I didn't quite catch your name.,['100k_German_sentences_with_aud']
habe bei,10,haben_noun,Ich habe bei dieser Hitze keine Lust zu lernen.,I don't like studying in this heat.,['100k_German_sentences_with_aud']
getroffen haben,10,verb_zu,"Erinnerst du dich, mich vorher schon mal getroffen zu haben?",Do you remember seeing me before?,['100k_German_sentences_with_aud']
ist unser,10,sein_adj,"Das ist unser Geheimnis, also pass auf, dass es dir nicht herausrutscht.","This is a secret just between you and me, so don't let it slip out.",['100k_German_sentences_with_aud']
haben gesagt,10,haben_noun,"Meine Eltern haben gesagt, sie hätten die meisten Weihnachtsgeschenke bereits im Netz erworben.",My parents said they have already purchased most of their Christmas presents online.,['100k_German_sentences_with_aud']
